launch_speed,launch_angle,stand,p_throws,pitch_type,inning,month,balls,strikes,hr_probability
85.4,-2,R,R,FF,7,6,1,1,6.386873110386659e-07
68.1,0,R,R,SI,5,6,3,2,3.7716392853326397e-07
96.2,10,R,R,SI,4,4,0,0,2.8677262889686972e-05
102.3,23,R,R,CU,3,9,1,1,0.9766987562179565
69.3,68,L,R,FC,7,4,2,2,3.732796471922484e-07
88.5,9,R,L,CH,4,7,0,0,7.303315783246944e-07
103.1,24,R,R,FF,2,4,3,2,0.9776930212974548
66.5,-11,R,R,ST,10,6,0,2,2.1436181896206108e-07
54.1,-28,R,R,SL,7,4,0,0,7.577492056043411e-07
101.7,27,R,R,FF,3,7,0,0,0.9934114813804626
72.2,47,L,L,FF,4,6,2,2,2.552615399054048e-07
64.5,-77,R,R,ST,8,6,2,2,2.3084372458015423e-07
78.6,73,L,R,CH,4,5,2,0,1.8985772953783453e-07
70.4,46,R,R,FF,7,6,2,2,1.062732167156355e-06
103.5,47,R,L,SL,8,8,0,1,0.054995857179164886
92.3,47,R,R,FF,1,8,3,1,6.174526788527146e-05
72.4,72,R,R,FC,2,6,1,2,2.1072048639325658e-07
89.3,40,R,R,FF,7,6,1,1,0.0002626003697514534
31.3,-26,R,L,SL,2,7,0,0,3.47136449363461e-07
109.2,15,L,R,FF,3,9,1,0,0.04840393364429474
101.1,20,R,R,SI,10,6,0,0,0.08522623032331467
104.1,20,R,R,CU,1,5,1,2,0.691026508808136
94.1,16,R,R,FF,6,6,2,1,8.395789336645976e-06
101.4,31,R,R,ST,4,5,0,0,0.994875967502594
80.6,25,L,R,FF,9,8,1,0,1.552912544866558e-05
81.7,62,L,R,FF,1,6,2,2,3.363236942277581e-07
77.8,44,L,R,FF,5,7,1,0,3.646521236078115e-06
89.1,14,R,R,FF,9,5,1,2,7.801047104294412e-06
97.2,10,R,R,FF,2,9,2,2,1.9921037164749578e-05
80.6,15,R,L,FF,8,7,1,2,2.4275927898997907e-06
85.8,31,L,R,SL,7,7,0,0,3.3691347198328e-05
66.1,17,R,R,FF,7,9,3,2,2.55813552030304e-06
98.7,-16,R,L,SL,6,9,0,1,0.00018589435785543174
87.9,56,R,R,SI,3,9,3,1,4.382897259347374e-06
97.2,-1,R,R,FF,1,8,1,0,3.771740011870861e-05
66.5,-21,R,L,FC,5,7,0,1,3.019856364971929e-07
83.4,-21,R,R,SL,1,10,1,1,3.713300316121604e-07
98.6,32,R,R,ST,3,7,0,1,0.9925712943077087
67.3,-28,R,L,SL,7,5,2,1,3.8151557646415313e-07
64.3,-11,L,L,SI,8,7,3,2,2.0042608639414539e-07
104.9,4,R,R,SI,2,7,0,1,0.001038087997585535
88.1,-9,R,R,FC,9,4,1,2,1.3134745131537784e-06
72.2,40,L,R,SL,3,8,0,2,2.843341235347907e-06
90.8,-27,R,R,SL,9,3,1,1,1.4349925550050102e-05
80.3,28,L,R,SL,1,8,1,2,2.668285378604196e-05
102.1,16,R,L,FF,4,7,1,1,0.0017813609447330236
79.7,42,R,R,FC,8,7,0,0,1.660847601669957e-06
76.5,60,R,R,ST,6,7,2,1,1.9864781108935858e-07
69.8,35,L,R,FF,8,9,1,1,2.008327101066243e-05
102.9,9,L,R,CU,9,6,1,2,0.00020685396157205105
107.8,23,L,R,CU,7,8,1,2,0.9982476234436035
65.5,20,R,R,FF,6,9,2,0,6.866865987831261e-06
81.1,11,L,L,FF,9,5,0,1,2.3589493025610864e-07
69.2,-28,L,L,SI,7,5,1,1,4.528384636159899e-07
68.3,60,R,R,CU,1,5,0,1,1.3618183913877147e-07
86.5,53,L,R,FF,9,9,0,1,1.49352842981898e-06
110.2,6,R,R,FF,7,4,2,0,0.0020101661793887615
76.6,6,L,R,CU,6,7,1,2,6.987093570387515e-07
91.8,-17,L,R,SI,5,4,2,0,2.7191269964532694e-06
78.4,63,R,L,SI,8,5,1,2,2.1136976613433944e-07
98.4,-14,L,R,SI,2,7,3,2,7.42551710573025e-05
79.7,74,R,R,ST,8,6,0,1,1.0169885911182064e-07
98.0,14,R,R,FS,6,7,2,2,1.3222735105955508e-05
93.0,31,L,R,FF,4,6,3,1,0.04073117673397064
82.0,15,L,R,FF,8,3,0,2,5.077961304778e-06
79.7,-23,R,R,SL,10,6,1,2,5.981823392176011e-07
62.8,74,R,R,ST,7,5,1,0,2.747783582890406e-07
83.1,67,R,R,FC,3,8,1,0,4.6477330784000515e-07
78.2,36,L,R,FF,3,4,1,1,1.315918234467972e-05
67.9,-29,R,L,SL,8,9,0,1,6.761069357708038e-07
67.3,20,L,R,SI,8,5,2,2,5.818259978696005e-06
101.3,18,R,R,FF,2,6,3,2,0.002607236849144101
67.8,24,R,L,ST,6,7,1,2,3.1439101348951226e-06
66.7,32,L,R,FC,4,9,3,2,2.7126307031721808e-05
89.7,27,L,R,SI,8,7,0,0,0.0006582176429219544
89.4,-21,L,R,FC,6,4,1,1,1.608826323717949e-06
61.4,58,L,R,SL,8,7,1,1,4.2876419570347934e-07
77.2,56,R,R,FF,5,6,2,1,1.8013190583587857e-07
92.7,63,R,R,FF,5,3,0,2,2.3526801669504493e-05
97.1,29,R,L,FF,4,4,1,2,0.822971522808075
103.0,18,L,L,SL,4,4,0,1,0.03898830711841583
76.7,53,L,R,SI,1,9,0,0,1.4086818111991306e-07
107.2,34,L,R,FF,1,6,3,1,0.9951573014259338
108.8,40,R,R,FF,2,6,1,1,0.989716112613678
70.0,-63,R,R,SI,4,6,1,0,5.242852694209432e-07
88.6,27,R,R,FF,5,5,3,2,0.00040297783561982214
92.2,-27,L,R,CH,7,4,0,1,3.6370988709677476e-06
78.5,-52,R,L,SI,7,7,0,1,3.6115693546889815e-07
83.4,7,L,R,FF,9,4,1,0,4.43315173015435e-07
102.5,16,L,R,CH,1,8,1,1,0.0019700704142451286
77.1,27,L,R,FF,3,8,3,1,2.0452846001717262e-05
78.5,15,L,R,FF,3,8,1,0,3.502854724501958e-06
86.0,6,L,R,FF,9,7,2,2,5.119156298860617e-07
76.3,52,L,R,FF,3,8,1,1,4.999112093173608e-07
102.5,-22,R,R,SI,1,4,2,2,7.615423965035006e-05
95.7,20,R,R,SI,4,8,0,1,0.0013562351232394576
84.7,31,R,L,SI,5,8,1,1,1.7470973034505732e-05
79.3,-8,R,L,CH,5,4,0,0,1.5829233745989768e-07
51.8,-64,R,R,CU,7,8,1,2,1.0932811846942059e-06
80.5,72,R,R,FF,1,7,0,0,2.679793453808088e-07
